id,created_at,resolved_at,minutes,impact,status,name,components,updates,url,evidence
py2lt7v0358t,2026-08-05T12:13:03,2026-08-05T13:54:03,101,minor,resolved,Issue Impacting US 01 and US 03,Dashboard|Dashboard|REST APIs|REST APIs,2,https://stspg.io/p1tkmr22mpsc,company-own (operational)
lj49g8hrpwhd,2026-08-04T03:00:00,2026-08-04T04:00:00,60,maintenance,resolved,[Scheduled] US 05 Database Maintenance,,,https://braze.statuspage.io/incidents/lj49g8hrpwhd,company-own (operational)
3qkg01kg7sjd,2026-08-03T03:00:00,2026-08-03T04:00:00,60,maintenance,resolved,[Scheduled] US 02 Database Maintenance,,,https://braze.statuspage.io/incidents/3qkg01kg7sjd,company-own (operational)
1nt3f10mxrlc,2026-07-31T11:00:00,2026-07-31T12:00:00,60,maintenance,resolved,[Scheduled] JP 01 Database Maintenance,,,https://braze.statuspage.io/incidents/1nt3f10mxrlc,company-own (operational)
zvbd3ndgw82g,2026-07-31T10:09:58,2026-07-31T15:25:24,315,minor,resolved,EU02 Currents Data Latency,Currents,4,https://stspg.io/8w09kvyz5kvx,company-own (operational)
zffh11rqskxq,2026-07-30T19:00:00,2026-07-30T20:00:00,60,maintenance,resolved,[Scheduled] EU 01 Database Maintenance,,,https://braze.statuspage.io/incidents/zffh11rqskxq,company-own (operational)
cnbw8grczr99,2026-07-28T23:00:00,2026-07-28T00:00:00,60,maintenance,resolved,[Scheduled] US 06 Database Maintenance,,,https://braze.statuspage.io/incidents/cnbw8grczr99,company-own (operational)
dn437cy6sr7q,2026-07-28T14:00:00,2026-07-28T15:00:00,60,maintenance,resolved,[Scheduled] US 07 Database Maintenance,,,https://braze.statuspage.io/incidents/dn437cy6sr7q,company-own (operational)
4nhzyh2gvbtt,2026-07-24T15:00:00,2026-07-24T15:00:00,0,none,resolved,AWS Networking Disruption in US-WEST-2 (Resolved),,1,https://stspg.io/fw6q4fqcktxh,company-own (operational)
ppp90dtwc25s,2026-07-13T14:43:50,2026-07-13T17:31:20,168,none,resolved,Braze AI Operator Errors,,3,https://stspg.io/hwc4hm2k432m,company-own (operational)
b23ylk1h3qgx,2026-06-12T10:58:09,2026-06-12T14:13:36,195,minor,resolved,WhatsApp Degraded Performance,WhatsApp,3,https://stspg.io/hq3219bnblkd,company-own (operational)
c37y5p7kq87w,2026-05-22T13:45:12,2026-05-22T14:41:36,56,minor,resolved,US01 and EU01 Processing Latency,Data Processing|Data Processing|Outbound Messaging|Outbound Messaging,4,https://stspg.io/pz5025t32lgv,company-own (operational)
g3hb7gy7ngyw,2026-05-08T00:35:15,2026-05-08T01:47:10,72,minor,resolved,US05 Processing Latency,Dashboard|SDK Data Collection|Data Processing|Outbound Messaging,4,https://stspg.io/5yxsdtjjkm44,company-own (operational)
xd76x24wy2nm,2026-05-07T12:38:05,2026-05-07T13:19:37,42,minor,resolved,Agent Console auto model errors,,3,https://stspg.io/54y5scqc728c,company-own (operational)
klqfbypwzdxy,2026-05-07T09:19:01,2026-05-08T08:36:43,1398,minor,resolved,SMS Delivery Delays to Multiple Countries in Europe,SMS,5,https://stspg.io/27xj1gs58z7x,company-own (operational)
9x52j85jcbng,2026-04-20T12:18:57,2026-04-20T15:24:45,186,major,resolved,Issue impacting EU01,Dashboard|SDK Data Collection|Data Processing|REST APIs|Outbound Messaging,6,https://stspg.io/yj64cmn3hg62,company-own (operational)
vytkjcghwgys,2026-04-17T16:00:00,2026-04-17T16:00:00,0,none,resolved,US01 SDK errors,,1,https://stspg.io/57s39v6r4j4w,company-own (operational)
b0y0lgvnf8xg,2026-04-16T16:00:00,2026-04-16T16:20:00,20,maintenance,resolved,[Scheduled] Scheduled maintenance for Braze CDI,,,https://braze.statuspage.io/incidents/b0y0lgvnf8xg,company-own (operational)
zw2kyb6nr1yt,2026-04-16T07:15:00,2026-04-16T07:40:00,25,maintenance,resolved,[Scheduled] Scheduled maintenance for Braze CDI,,,https://braze.statuspage.io/incidents/zw2kyb6nr1yt,company-own (operational)
zyzxjq6xy1br,2026-04-15T15:30:00,2026-04-15T15:50:00,20,maintenance,resolved,[Scheduled] Scheduled maintenance for Braze CDI,,,https://braze.statuspage.io/incidents/zyzxjq6xy1br,company-own (operational)
7cr56x6grd8r,2026-04-15T15:00:00,2026-04-15T15:20:00,20,maintenance,resolved,[Scheduled] Scheduled maintenance for Braze CDI,,,https://braze.statuspage.io/incidents/7cr56x6grd8r,company-own (operational)
