slug,file,title,description,section,url,fetched,bytes,body_bytes,words,headings,h2s,code_blocks,tables,links,evidence
docs__api__api_campaigns,docs__api__api_campaigns.md,API campaigns,This reference article covers how to generate a campaign_id to include in your API calls and how to configure that campaign.,api/api_campaigns,https://www.braze.com/docs/api/api_campaigns,2026-09-02,4752,4419,668,6,4,2,2,0,company-own (technical)
docs__api__api_limits,docs__api__api_limits.md,Rate limits,This reference article covers API rate limits for the Braze API infrastructure.,api/api_limits,https://www.braze.com/docs/api/api_limits,2026-09-02,13397,13120,1871,13,4,2,58,1,company-own (technical)
docs__api__basics,docs__api__basics.md,API overview,"This reference article covers the API basics including what a REST API is, the terminology, and an overview of API keys.",api/basics,https://www.braze.com/docs/api/basics,2026-09-02,25138,24831,3550,19,5,2,459,30,company-own (technical)
docs__api__data_retention,docs__api__data_retention.md,Braze Data Retention Information,This reference article covers general Braze data retention information.,api/data_retention,https://www.braze.com/docs/api/data_retention,2026-09-02,4829,4527,716,9,3,0,0,0,company-own (technical)
docs__api__data_retention__messaging_interaction_data,docs__api__data_retention__messaging_interaction_data.md,About messaging interaction data availability,This reference article covers campaign and Canvas interaction data and its availability.,api/data_retention,https://www.braze.com/docs/api/data_retention/messaging_interaction_data,2026-09-02,8011,7624,1132,11,5,0,18,0,company-own (technical)
docs__api__endpoints__apps,docs__api__endpoints__apps.md,App Endpoints,"This landing page lists the Braze app endpoints, including the endpoint used to update push credentials.",api/endpoints,https://www.braze.com/docs/api/endpoints/apps,2026-09-02,534,222,31,1,0,0,0,0,company-own (technical)
docs__api__endpoints__apps__post_update_push_credential,docs__api__endpoints__apps__post_update_push_credential.md,Update push credentials,This article outlines details about the Update push credentials Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/apps/post_update_push_credential,2026-09-02,7072,6718,802,14,5,20,110,4,company-own (technical)
docs__api__endpoints__catalogs,docs__api__endpoints__catalogs.md,Catalogs Endpoints,This landing page lists the Braze catalogs endpoints.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs,2026-09-02,1411,1137,139,6,5,0,0,0,company-own (technical)
docs__api__endpoints__catalogs__catalog_fields__asynchronous__delete_catalog_field,docs__api__endpoints__catalogs__catalog_fields__asynchronous__delete_catalog_field.md,Delete catalog field,This article outlines details about the Delete catalog field Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_fields/asynchronous/delete_catalog_field,2026-09-02,2444,2044,268,9,6,6,28,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_fields__asynchronous__post_create_catalog_fields,docs__api__endpoints__catalogs__catalog_fields__asynchronous__post_create_catalog_fields.md,Create catalog fields,This article outlines details about the Create catalog fields Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_fields/asynchronous/post_create_catalog_fields,2026-09-02,3225,2811,377,10,7,6,34,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_items__asynchronous__delete_catalog_items_bulk,docs__api__endpoints__catalogs__catalog_items__asynchronous__delete_catalog_items_bulk.md,Delete multiple catalog items,This article outlines details about the Delete multiple catalog items Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/asynchronous/delete_catalog_items_bulk,2026-09-02,3094,2668,373,10,7,6,38,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_items__asynchronous__patch_catalog_items_bulk,docs__api__endpoints__catalogs__catalog_items__asynchronous__patch_catalog_items_bulk.md,Edit multiple catalog items,This article outlines details about the Edit multiple catalog items Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/asynchronous/patch_catalog_items_bulk,2026-09-02,4352,3932,566,10,7,6,50,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_items__asynchronous__post_create_catalog_items_bulk,docs__api__endpoints__catalogs__catalog_items__asynchronous__post_create_catalog_items_bulk.md,Create multiple catalog items,This article outlines details about the Create multiple catalog items Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/asynchronous/post_create_catalog_items_bulk,2026-09-02,4900,4464,638,10,7,6,50,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_items__asynchronous__put_update_catalog_items,docs__api__endpoints__catalogs__catalog_items__asynchronous__put_update_catalog_items.md,Replace catalog items,This article outlines details about the Replace multiple catalog items Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/asynchronous/put_update_catalog_items,2026-09-02,4877,4460,652,10,7,6,54,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_items__synchronous__delete_catalog_item,docs__api__endpoints__catalogs__catalog_items__synchronous__delete_catalog_item.md,Delete a catalog item,This article outlines details about the Delete catalog item Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/synchronous/delete_catalog_item,2026-09-02,2416,2022,270,10,7,6,26,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_items__synchronous__get_catalog_item_details,docs__api__endpoints__catalogs__catalog_items__synchronous__get_catalog_item_details.md,List catalog item details,This article outlines details about the List catalog item details Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/synchronous/get_catalog_item_details,2026-09-02,2551,2137,288,10,7,6,24,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_items__synchronous__get_catalog_items_details_bulk,docs__api__endpoints__catalogs__catalog_items__synchronous__get_catalog_items_details_bulk.md,List multiple catalog item details,This article outlines details about the List multiple catalog item details Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/synchronous/get_catalog_items_details_bulk,2026-09-02,3928,3484,479,13,8,10,32,2,company-own (technical)
docs__api__endpoints__catalogs__catalog_items__synchronous__patch_catalog_item,docs__api__endpoints__catalogs__catalog_items__synchronous__patch_catalog_item.md,Edit catalog item,This article outlines details about the Edit catalog item Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/synchronous/patch_catalog_item,2026-09-02,4203,3817,543,10,7,6,56,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_items__synchronous__post_create_catalog_item,docs__api__endpoints__catalogs__catalog_items__synchronous__post_create_catalog_item.md,Create catalog item,This article outlines details about the Create catalog item Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/synchronous/post_create_catalog_item,2026-09-02,4203,3801,542,10,7,6,56,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_items__synchronous__put_update_catalog_item,docs__api__endpoints__catalogs__catalog_items__synchronous__put_update_catalog_item.md,Replace catalog item,This article outlines details about the Replace catalog item Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/synchronous/put_update_catalog_item,2026-09-02,4248,3846,550,10,7,6,56,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_management__synchronous__delete_catalog,docs__api__endpoints__catalogs__catalog_management__synchronous__delete_catalog.md,Delete catalog,This article outlines details about the Delete catalog Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_management/synchronous/delete_catalog,2026-09-02,2033,1651,214,9,6,6,18,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_management__synchronous__get_list_catalogs,docs__api__endpoints__catalogs__catalog_management__synchronous__get_list_catalogs.md,List catalogs,This article outlines details about the List catalogs Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_management/synchronous/get_list_catalogs,2026-09-02,2301,1915,273,7,5,4,4,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_management__synchronous__post_create_catalog,docs__api__endpoints__catalogs__catalog_management__synchronous__post_create_catalog.md,Create catalog,This article outlines details about the Create catalog Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_management/synchronous/post_create_catalog,2026-09-02,5030,4638,643,10,6,6,58,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_selections__asynchronous__delete_catalog_selection,docs__api__endpoints__catalogs__catalog_selections__asynchronous__delete_catalog_selection.md,Delete catalog selection,This article outlines details about the Delete catalog selection Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_selections/asynchronous/delete_catalog_selection,2026-09-02,2308,1884,236,9,6,6,24,1,company-own (technical)
docs__api__endpoints__catalogs__catalog_selections__asynchronous__post_create_catalog_selections,docs__api__endpoints__catalogs__catalog_selections__asynchronous__post_create_catalog_selections.md,Create catalog selection,This article outlines details about the Create catalog selection Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/catalogs/catalog_selections/asynchronous/post_create_catalog_selections,2026-09-02,5858,5422,731,12,7,6,98,1,company-own (technical)
docs__api__endpoints__cdi,docs__api__endpoints__cdi.md,Cloud Data Ingestion Endpoints,This landing page lists the Braze Cloud Data Ingestion endpoints.,api/endpoints,https://www.braze.com/docs/api/endpoints/cdi,2026-09-02,529,241,32,1,0,0,0,0,company-own (technical)
docs__api__endpoints__cdi__get_integration_list,docs__api__endpoints__cdi__get_integration_list.md,List integrations,This article outlines details about the List integrations Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/cdi/get_integration_list,2026-09-02,2968,2642,359,9,5,8,20,2,company-own (technical)
docs__api__endpoints__cdi__get_job_sync_status,docs__api__endpoints__cdi__get_job_sync_status.md,List job sync status,This article outlines details about the List job sync status Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/cdi/get_job_sync_status,2026-09-02,3629,3299,439,10,6,8,42,2,company-own (technical)
docs__api__endpoints__cdi__post_job_sync,docs__api__endpoints__cdi__post_job_sync.md,Trigger a sync,This article outlines details about the Trigger sync Braze endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/cdi/post_job_sync,2026-09-02,1964,1660,221,7,5,4,20,2,company-own (technical)
docs__api__endpoints__data_objects,docs__api__endpoints__data_objects.md,Data Objects Endpoints,This landing page lists the Braze Data Objects endpoints.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects,2026-09-02,8756,8466,1118,19,11,3,41,0,company-own (technical)
docs__api__endpoints__data_objects__object_relationships__delete_object_relationship,docs__api__endpoints__data_objects__object_relationships__delete_object_relationship.md,Delete object relationship,This article outlines details about the Delete object relationship endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/object_relationships/delete_object_relationship,2026-09-02,4133,3722,454,12,7,6,64,1,company-own (technical)
docs__api__endpoints__data_objects__object_relationships__get_list_object_relationships,docs__api__endpoints__data_objects__object_relationships__get_list_object_relationships.md,List object relationships,This article outlines details about the List object relationships endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/object_relationships/get_list_object_relationships,2026-09-02,5498,5083,614,12,7,6,124,1,company-own (technical)
docs__api__endpoints__data_objects__object_relationships__patch_update_object_relationship,docs__api__endpoints__data_objects__object_relationships__patch_update_object_relationship.md,Update object relationship,This article outlines details about the Update object relationship endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/object_relationships/patch_update_object_relationship,2026-09-02,4763,4340,503,12,7,6,84,1,company-own (technical)
docs__api__endpoints__data_objects__object_relationships__post_create_object_relationship,docs__api__endpoints__data_objects__object_relationships__post_create_object_relationship.md,Create object relationship,This article outlines details about the Create object relationship endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/object_relationships/post_create_object_relationship,2026-09-02,5809,5388,617,12,7,6,114,1,company-own (technical)
docs__api__endpoints__data_objects__object_relationships__put_replace_object_relationship,docs__api__endpoints__data_objects__object_relationships__put_replace_object_relationship.md,Replace object relationship,This article outlines details about the Replace object relationship endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/object_relationships/put_replace_object_relationship,2026-09-02,4918,4495,524,12,7,6,87,1,company-own (technical)
docs__api__endpoints__data_objects__objects__delete_data_object,docs__api__endpoints__data_objects__objects__delete_data_object.md,Delete data object,This article outlines details about the Delete data object endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/objects/delete_data_object,2026-09-02,2977,2624,349,11,6,6,41,1,company-own (technical)
docs__api__endpoints__data_objects__objects__get_data_object,docs__api__endpoints__data_objects__objects__get_data_object.md,Get data object,This article outlines details about the Get data object endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/objects/get_data_object,2026-09-02,3331,2990,390,11,6,6,53,1,company-own (technical)
docs__api__endpoints__data_objects__objects__get_list_data_objects,docs__api__endpoints__data_objects__objects__get_list_data_objects.md,List data objects,This article outlines details about the List data objects endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/objects/get_list_data_objects,2026-09-02,4255,3898,508,12,7,6,85,1,company-own (technical)
docs__api__endpoints__data_objects__objects__patch_update_data_object,docs__api__endpoints__data_objects__objects__patch_update_data_object.md,Update data object,This article outlines details about the Update data object endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/objects/patch_update_data_object,2026-09-02,4040,3675,476,12,7,6,68,1,company-own (technical)
docs__api__endpoints__data_objects__objects__post_create_data_object,docs__api__endpoints__data_objects__objects__post_create_data_object.md,Create data object,This article outlines details about the Create data object endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/objects/post_create_data_object,2026-09-02,4467,4104,540,12,7,6,74,1,company-own (technical)
docs__api__endpoints__data_objects__objects__put_replace_data_object,docs__api__endpoints__data_objects__objects__put_replace_data_object.md,Replace data object,This article outlines details about the Replace data object endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/objects/put_replace_data_object,2026-09-02,4414,4049,534,12,7,6,71,1,company-own (technical)
docs__api__endpoints__data_objects__types__get_data_object_type,docs__api__endpoints__data_objects__types__get_data_object_type.md,Get data object type,This article outlines details about the Get data object type endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/types/get_data_object_type,2026-09-02,3632,3275,423,11,6,6,49,1,company-own (technical)
docs__api__endpoints__data_objects__types__get_list_data_object_types,docs__api__endpoints__data_objects__types__get_list_data_object_types.md,List data object types,This article outlines details about the List data object types endpoint.,api/endpoints,https://www.braze.com/docs/api/endpoints/data_objects/types/get_list_data_object_types,2026-09-02,3975,3602,484,11,6,6,73,1,company-own (technical)
