date,kind,event,source_file,evidence
2013-05-09,release,public repo created: braze-unity-sdk,repos.csv,company-own (technical)
2015-01-21,release,public repo created: braze-xamarin-sdk,repos.csv,company-own (technical)
2015-05-12,release,public repo created: braze-web-sdk,repos.csv,company-own (technical)
2016-02-05,release,public repo created: braze-cordova-sdk,repos.csv,company-own (technical)
2016-02-15,release,public repo created: braze-react-native-sdk,repos.csv,company-own (technical)
2016-10-09,incident,incident (maintenance): [Scheduled] Data center maintenance - no customer impact expected,incidents.csv,company-own (operational)
2016-10-11,incident,incident (minor): Data Processing Delays,incidents.csv,company-own (operational)
2016-10-14,incident,incident (maintenance): [Scheduled] Network maintenance - no customer impact expected,incidents.csv,company-own (operational)
2016-10-16,incident,incident (none): Data Processing Delays,incidents.csv,company-own (operational)
2016-10-17,incident,incident (maintenance): [Scheduled] Database Maintenance,incidents.csv,company-own (operational)
2016-10-21,incident,incident (none): Global DNS Event,incidents.csv,company-own (operational)
2016-10-21,incident,incident (minor): DNS issue caused by attack on DYN,incidents.csv,company-own (operational)
2016-10-23,incident,incident (maintenance): [Scheduled] Network maintenance - no customer impact expected,incidents.csv,company-own (operational)
2016-11-01,incident,incident (maintenance): [Scheduled] Network maintenance,incidents.csv,company-own (operational)
2016-11-05,incident,incident (none): Database Failure,incidents.csv,company-own (operational)
2016-11-05,incident,incident (minor): Message sending delays,incidents.csv,company-own (operational)
2016-11-06,incident,incident (minor): Data processing delays,incidents.csv,company-own (operational)
2016-11-09,incident,incident (minor): Data processing delays,incidents.csv,company-own (operational)
2016-11-16,incident,incident (minor): Investigating connectivity issues,incidents.csv,company-own (operational)
2016-11-18,incident,incident (maintenance): [Scheduled] Database maintenance,incidents.csv,company-own (operational)
2016-11-23,incident,incident (none): Elevated Error Rates on SDK API EU,incidents.csv,company-own (operational)
2016-11-25,incident,incident (none): EU data center delays,incidents.csv,company-own (operational)
2016-12-06,incident,incident (minor): Data processing and message sending delays,incidents.csv,company-own (operational)
2016-12-13,release,braze-xamarin-sdk 1.3,sdk_releases.csv,company-own (technical)
2016-12-13,release,braze-xamarin-sdk 1.2,sdk_releases.csv,company-own (technical)
2016-12-13,release,braze-xamarin-sdk 1.1,sdk_releases.csv,company-own (technical)
2016-12-13,release,braze-xamarin-sdk 1.0,sdk_releases.csv,company-own (technical)
2017-01-13,incident,incident (minor): Slow connectivity to the web dashboard,incidents.csv,company-own (operational)
2017-01-22,incident,incident (minor): Data Processing Delays,incidents.csv,company-own (operational)
2017-02-28,incident,incident (minor): Elevated Error Rates on Message Sending and Dashboard Services Due to AWS S3 Incident,incidents.csv,company-own (operational)
2017-03-01,incident,incident (major): Elevated error rates from API and delayed message sending,incidents.csv,company-own (operational)
2017-03-13,incident,incident (maintenance): [Scheduled] Maintenance to campaign and canvas time series database,incidents.csv,company-own (operational)
2017-04-11,incident,incident (minor): Delayed data processing,incidents.csv,company-own (operational)
2017-04-25,release,braze-xamarin-sdk 1.4,sdk_releases.csv,company-own (technical)
2017-05-04,incident,incident (minor): Delayed data processing and message sending,incidents.csv,company-own (operational)
2017-05-10,incident,incident (maintenance): [Scheduled] AWS Direct Connect Maintenance - No Impact Expected,incidents.csv,company-own (operational)
2017-05-31,incident,"incident (minor): Delayed data processing, data collection and message sending",incidents.csv,company-own (operational)
2017-06-09,incident,incident (major): Delayed data processing and elevated REST API errors,incidents.csv,company-own (operational)
2017-06-26,incident,incident (minor): Data processing delays,incidents.csv,company-own (operational)
2017-06-28,incident,incident (minor): Investigating connectivity issues,incidents.csv,company-own (operational)
2017-07-06,incident,incident (maintenance): [Scheduled] AWS Direct Connect Maintenance - No Impact Expected,incidents.csv,company-own (operational)
2017-07-20,filing,D filed (06b),filings.csv,statutory (SEC)
2017-07-24,incident,incident (minor): Elevated errors on EU Cluster,incidents.csv,company-own (operational)
2017-07-26,incident,incident (minor): APNS Outage - US Clusters,incidents.csv,company-own (operational)
2017-07-27,incident,incident (minor): Delayed data processing and message sending due to AWS connectivity errors,incidents.csv,company-own (operational)
2017-07-27,incident,incident (critical): Investigating connectivity issues,incidents.csv,company-own (operational)
2017-08-02,incident,incident (critical): Investigating major connectivity issues,incidents.csv,company-own (operational)
2017-08-05,incident,incident (minor): Elevated error rates on Data Collection,incidents.csv,company-own (operational)
2017-08-10,incident,incident (major): Connectivity issues on EU cluster,incidents.csv,company-own (operational)
2017-08-14,filing,D filed (06b),filings.csv,statutory (SEC)
2017-08-15,incident,incident (minor): Connectivity to US cluster seeming due to AWS incident,incidents.csv,company-own (operational)
2017-08-23,incident,incident (minor): Connectivity to US cluster seeming due to AWS incident,incidents.csv,company-own (operational)
2017-09-09,incident,incident (minor): Elevated error rates - US-01,incidents.csv,company-own (operational)
